lon,lat,vs30,Coef,Zone_EC8,PGA_EC8,Soil_EC8
25.18213,41.3,655.47736,0.1,1,0.16,B
25.68213,41.3,620.10077,0.1,1,0.16,B
22.38213,38.4,638.73865,0.15,2,0.24,B
21.38213,38.4,192.73947,0.15,2,0.24,C
23.68213,41.4,840.8712,0.1,1,0.16,A
23.68213,41.3,821.89294,0.1,1,0.16,A
23.78213,41.4,730.4332,0.1,1,0.16,B
23.78213,41.3,709.0732,0.1,1,0.16,B
23.78213,41.2,900,0.1,1,0.16,A
23.88213,41.4,373.00876,0.1,1,0.16,B
23.88213,41.3,578.1189,0.1,1,0.16,B
23.88213,41.2,422.80508,0.1,1,0.16,B
23.98213,41.4,595.0205,0.1,1,0.16,B
23.98213,41.3,622.7987,0.1,1,0.16,B
23.98213,41.2,900,0.1,1,0.16,A
23.98213,40.8,633.0263,0.1,1,0.16,B
24.08213,41.5,819.9779,0.1,1,0.16,A
24.08213,41.4,488.584,0.1,1,0.16,B
24.08213,41.3,800.4471,0.1,1,0.16,A
24.08213,41.2,770.44714,0.1,1,0.16,B
24.08213,41.1,253.61803,0.1,1,0.16,C
24.08213,40.9,900,0.1,1,0.16,A
24.08213,40.8,538.03687,0.1,1,0.16,B
24.18213,41.5,529.4243,0.1,1,0.16,B
24.18213,41.4,572.8491,0.1,1,0.16,B
24.18213,41.3,736.5813,0.1,1,0.16,B
24.18213,41.2,445.038,0.1,1,0.16,B
24.18213,41.1,293.13455,0.1,1,0.16,C
24.18213,41,236.41534,0.1,1,0.16,C
24.18213,40.9,900,0.1,1,0.16,A
24.18213,40.8,567.7214,0.1,1,0.16,B
24.28213,41.5,596.47,0.1,1,0.16,B
24.28213,41.4,626.90466,0.1,1,0.16,B
24.28213,41.3,712.8143,0.1,1,0.16,B
24.28213,41.2,660.9562,0.1,1,0.16,B
24.28213,41.1,373.9489,0.1,1,0.16,B
24.28213,41,294.30008,0.1,1,0.16,C
24.28213,40.9,610.6506,0.1,1,0.16,B
24.38213,41.5,900,0.1,1,0.16,A
24.38213,41.4,752.32745,0.1,1,0.16,B
24.38213,41.3,506.51123,0.1,1,0.16,B
24.38213,41.2,460.86578,0.1,1,0.16,B
24.38213,41.1,825.0835,0.1,1,0.16,A
24.38213,41,525.2214,0.1,1,0.16,B
24.48213,41.5,899.4532,0.1,1,0.16,A
24.48213,41.4,728.4083,0.1,1,0.16,B
24.48213,41.3,595.10565,0.1,1,0.16,B
24.48213,41.2,836.4115,0.1,1,0.16,A
24.48213,41.1,648.7652,0.1,1,0.16,B
24.48213,41,789.1353,0.1,1,0.16,B
24.58213,41.4,810.1804,0.1,1,0.16,A
24.58213,41.3,741.18,0.1,1,0.16,B
24.58213,41.2,898.33923,0.1,1,0.16,A
24.58213,41.1,608.18,0.1,1,0.16,B
24.58213,41,761.3942,0.1,1,0.16,B
24.58213,40.7,900,0.1,1,0.16,A
24.68213,41.4,655.8339,0.1,1,0.16,B
24.68213,41.3,538.07196,0.1,1,0.16,B
24.68213,41.2,619.7152,0.1,1,0.16,B
24.68213,41.1,838.6632,0.1,1,0.16,A
24.68213,41,307.76718,0.1,1,0.16,C
24.68213,40.9,217.49792,0.1,1,0.16,C
24.68213,40.7,774.03674,0.1,1,0.16,B
24.68213,40.6,590.86145,0.1,1,0.16,B
24.78213,41.3,747.3596,0.1,1,0.16,B
24.78213,41.2,898.5292,0.1,1,0.16,A
24.78213,41.1,814.5335,0.1,1,0.16,A
24.78213,41,220.38246,0.1,1,0.16,C
24.78213,40.9,234.22244,0.1,1,0.16,C
24.88213,41.3,736.62115,0.1,1,0.16,B
24.88213,41.2,779.34875,0.1,1,0.16,B
24.88213,41.1,343.84076,0.1,1,0.16,C
24.88213,41,304.95496,0.1,1,0.16,C
24.98213,41.3,619.3003,0.1,1,0.16,B
24.98213,41.2,584.9123,0.1,1,0.16,B
24.98213,41.1,237.54099,0.1,1,0.16,C
24.98213,41,362.01895,0.1,1,0.16,B
25.08213,41.3,571.9193,0.1,1,0.16,B
25.08213,41.2,577.03076,0.1,1,0.16,B
25.08213,41.1,299.58328,0.1,1,0.16,C
25.18213,41.2,518.9286,0.1,1,0.16,B
25.18213,41.1,228.70444,0.1,1,0.16,C
25.18213,41,416.06058,0.1,1,0.16,B
25.28213,41.2,786.7868,0.1,1,0.16,B
25.28213,41.1,253.76408,0.1,1,0.16,C
25.28213,41,287.96472,0.1,1,0.16,C
25.38213,41.2,840.81177,0.1,1,0.16,A
25.38213,41.1,236.70921,0.1,1,0.16,C
25.38213,41,263.945,0.1,1,0.16,C
25.48213,41.2,558.6254,0.1,1,0.16,B
25.48213,41.1,332.26642,0.1,1,0.16,C
25.48213,41,504.21335,0.1,1,0.16,B
25.48213,40.9,387.43414,0.1,1,0.16,B
25.58213,41.3,658.24066,0.1,1,0.16,B
25.58213,41.2,450.11426,0.1,1,0.16,B
25.58213,41.1,294.6258,0.1,1,0.16,C
25.58213,41,282.85938,0.1,1,0.16,C
25.58213,40.9,507.0682,0.1,1,0.16,B
25.68213,41.2,597.5875,0.1,1,0.16,B
25.68213,41.1,277.61356,0.1,1,0.16,C
25.68213,41,386.42654,0.1,1,0.16,B
25.78213,41.3,484.9754,0.1,1,0.16,B
25.78213,41.2,793.73175,0.1,1,0.16,B
