id,lon,lat,name,type,category
1,23.71665,37.97918,ARCHI PROSTASIAS DEDOMENÏN PROSÏPIKOY CHARAKTIRA,LOIPOI FOREIS,Oher public buildings
2,23.71665,37.97918,YP.PE.CHÏ.D.E. GENIKI GRAMMATEIA DIMOSIÏN ERGÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
3,23.7008,37.98198,1I DIEYTHYNSI STRATOLOGIAS,STRATOLOGIKO GRAFEIO,Oher public buildings
4,23.73065,37.97561,ARCHI PLIRÏMIS,DIA×EIRISTIKI AR×I,Oher public buildings
5,23.75962,37.98762,ASEP,LOIPOI FOREIS,Oher public buildings
6,23.78198,37.99732,GEETHA/DSL/4,STRATOLOGIKO GRAFEIO,Oher public buildings
7,23.76224,37.98749,GENIKI GRAMMATEIA ATHLITISMOY,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
8,23.73362,37.97949,GENIKI GRAMMATEIA DIMOSIONOMIKIS POLITIKIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
9,23.71665,37.97918,GENIKI GRAMMATEIA EMPORIOY GENIKI GRAMMATEIA KATANALÏTI,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
10,23.6411,37.9509,GENIKI GRAMMATEIA ESYE,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
11,23.73053,37.97944,GENIKI GRAMMATEIA ISOTITAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
12,23.73118,37.98051,GENIKI GRAMMATEIA KOINÏNIKÏN ASFALISEÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
13,23.70203,37.95552,GENIKI GRAMMATEIA PLIROFORIAKÏN SYSTIMATÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
14,23.73982,37.97574,GENIKI GRAMMATEIA DIMOSIAS DIOIKISIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
15,23.76194,37.98546,GENIKI GRAMMATEIA EREYNAS & TECHNOLOGIAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
16,23.73039,38.02297,GENIKI GRAMMATEIA NEAS GENIAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
17,23.73278,37.98044,GENIKO LOGISTIRIO TOY KRATOYS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
18,23.75143,37.96178,IKA KENTRIKES YPIRESIES PAPADIAMANTOPOYLOY 87 ZÏRAFOY,ASFALISTIKA TAMEIA,Oher public buildings
19,23.73699,37.98754,D.A. E.P. POLITISMOS,DIA×EIRISTIKI AR×I,Oher public buildings
20,23.72248,37.98233,D.A. EQUAL,DIA×EIRISTIKI AR×I,Oher public buildings
21,23.70943,37.98619,D.A. EP AGROTIKI ANAPTYCHI,DIA×EIRISTIKI AR×I,Oher public buildings
22,23.75728,37.98084,E.Y. EFARMOGIS GENIKIS GRAMMATEIAS KAI ISOTITAS,DIA×EIRISTIKI AR×I,Oher public buildings
23,23.73112,38.00091,D.A. ALIEIA,DIA×EIRISTIKI AR×I,Oher public buildings
24,23.76578,37.98707,D.A. ANTAGÏNISTIKOTITA,DIA×EIRISTIKI AR×I,Oher public buildings
25,23.71665,37.97918,D.A. ATTIKIS,DIA×EIRISTIKI AR×I,Oher public buildings
26,23.71665,37.97918,D.A. ODIKOI ACHONES,DIA×EIRISTIKI AR×I,Oher public buildings
27,23.71665,37.97918,"E.Y. SYNTONISMOY E.P. ""PERIBALLON & AEIFOROS ANAPTYCHI""",DIA×EIRISTIKI AR×I,Oher public buildings
28,23.77489,38.0021,D.A. SASA,DIA×EIRISTIKI AR×I,Oher public buildings
29,23.71665,37.97918,D.A. YGEIAS-PR.,DIA×EIRISTIKI AR×I,Oher public buildings
30,23.71665,37.97918,E.Y E.P. EKPAIDEYSI KAI ARCHIKI EPAGGELMATIKI KATARTISI (EPEAEK),DIA×EIRISTIKI AR×I,Oher public buildings
31,23.73162,37.97718,E.Y E.P. KTP,DIA×EIRISTIKI AR×I,Oher public buildings
32,23.72535,37.97112,E.Y. OPS,DIA×EIRISTIKI AR×I,Oher public buildings
33,23.73249,37.98086,ETHNIKI BIBLIOTHIKI TIS ELLADOS,LOIPOI FOREIS,Oher public buildings
34,23.69731,37.96766,ETHNIKO KENTRO DIMOSIAS DIOIKISIS,LOIPOI FOREIS,Oher public buildings
35,23.72939,37.98659,ETHNIKO TYPOGRAFEIO,LOIPOI FOREIS,Oher public buildings
36,23.72907,37.97573,EIDIKO LICHIARCHEIO,LOIPOI FOREIS,Oher public buildings
37,23.75622,37.98565,ELEGKTIKO SYNEDRIO,LOIPOI FOREIS,Oher public buildings
38,23.73702,37.96069,KTP A.E.,LOIPOI FOREIS,Oher public buildings
39,23.75897,37.98146,M.O.D.,DIA×EIRISTIKI AR×I,Oher public buildings
40,23.72775,37.98271,METOCHIKO TAMEIO POLITIKÏN YPALLILÏN,LOIPOI FOREIS,Oher public buildings
41,23.72997,37.98634,ORGANISMOS GEÏRGIKÏN ASFALISEÏN (O.G.A.),LOIPOI FOREIS,Oher public buildings
42,23.7008,37.98198,SG PEIRAIA,STRATOLOGIKO GRAFEIO,Oher public buildings
43,23.75175,37.97659,SYNIGOROS TOY POLITI,LOIPOI FOREIS,Oher public buildings
44,23.78198,37.99732,2I DIEYTHYNSI STRATOLOGIAS,STRATOLOGIKO GRAFEIO,Oher public buildings
45,23.7008,37.98198,SCHOLI STRATOLOGIKOY,STRATOLOGIKO GRAFEIO,Oher public buildings
46,23.73142,37.98023,GENIKI GRAMMATEIA TOPIKIS AYTODIOIKISIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
47,23.72988,37.97564,YP.ES.D.D.A.,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
48,23.74537,37.98911,YP.PE.CHÏ.D.E. GENIKI GRAMMATEIA SYGCHRIMATODOTOYMENÏN ERGÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
49,23.75937,37.98805,YP. PE.CHÏ.D.E. (PERIBALLON CHÏROTAXIA),YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
50,23.73463,37.95997,YPIRESIA ANAPTYCHIS PLIROFORIKIS,LOIPOI FOREIS,Oher public buildings
51,23.71665,37.97918,YPOYRGEIO ANAPTYCHIS GENIKI GRAMMATEIA BIOMICHANIAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
52,23.83582,38.01264,YPOYRGEIO ETHNIKIS AMYNAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
53,23.79105,38.04533,YPOYRGEIO ETHNIKIS PAIDEIAS KAI THRISKEYMATÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
54,23.64916,37.9401,YPOYRGEIO EMPORIKIS NAYTILIAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
55,23.71665,37.97918,YPOYRGEIO ECHÏTERIKÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
56,23.73334,37.97568,YPOYRGEIO ETHNIKIS OIKONOMIAS GENIKI GRAMMATEIA EPENDYSEÏN & ANAPTYCHIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
57,23.7334,37.98854,YPOYRGEIO POLITISMOY,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
58,23.72774,37.98811,YPOYRGEIO YGEIAS KAI KOINÏNIKIS ALLILEGGYIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
59,23.72668,37.98748,YPOYRGEIO AGROTIKIS ANAPTYCHIS KAI TROFIMÏN GENIKI GRAMMATEIA DASÏN & FYSIKOY PERIBALLONTOS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
60,23.72913,38.01984,YPOYRGEIO AGROTIKIS ANAPTYCHIS KAI TROFIMÏN,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
61,23.73398,37.97433,YPOYRGEIO AIGAIOY,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
62,23.72351,37.98208,YPOYRGEIO APASCHOLISIS KAI KOINÏNIKIS PROSTASIAS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
63,23.66442,37.98815,YPOYRGEIO DIMOSIAS TAXIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
64,23.76948,37.9894,YPOYRGEIO DIKAIOSYNIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
65,23.71819,37.95986,YPOYRGEIO TYPOY KAI MESÏN MAZIKIS ENIMERÏSIS,YPOYRGEIO GENIKI GRAMMATEIA,Oher public buildings
