id,asset_id,name,Reference
1,1,Romao et al. (2021),"X. Romão, N. Pereira, J.M. Castro, H. Crowley, V. Silva, L. Martins, & F. De Maio. (2021). European Building Vulnerability Data Repository. Zenodo. https://doi.org/10.5281/zenodo.4062410"
2,1,Martins and Silva (2020),"Martins, L., Silva, V. Development of a fragility and vulnerability model for global seismic risk analyses. Bull Earthquake Eng 19, 6719–6745 (2021). https://doi.org/10.1007/s10518-020-00885-1"
3,1,Kappos et al. (2006),"Kappos, A., Panagopoulos, G., Panagiotopoulos, C., Penelis, G.: A hybrid method for the vulnerability assessment of R/C and URM buildings. Bulletin of Earthquake Engineering, 4(4), 391–413. https://doi.org/10.1007/s10518-006-9023-0 (2006)."
4,2,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
5,2,Argyroudis and Kaynia (2015),"Argyroudis, S. and Kaynia, A. M.: Fragility Functions of Highway and Railway Infrastructure, in: SYNER-G: Typology Definition and Fragility Functions for Physical Elements at Seismic Risk., vol. 27, edited by: Pitilakis, K., Crowley, H., and Kaynia, A. M., Springer, Dordrecht, 299–326, 2014."
6,2,Argyroudis et al. (2018),"Argyroudis, S., Mitoulis, S., Winter, M. G., and Kaynia, A. M.: Fragility of critical transportation infrastructure systems subjected to geo-hazards, 16th European conference on earthquake engineering, Thessaloniki, Greece, 2018."
7,3,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
8,3,Argyroudis and Kaynia (2015),"Argyroudis, S. and Kaynia, A. M.: Fragility Functions of Highway and Railway Infrastructure, in: SYNER-G: Typology Definition and Fragility Functions for Physical Elements at Seismic Risk., vol. 27, edited by: Pitilakis, K., Crowley, H., and Kaynia, A. M., Springer, Dordrecht, 299–326, 2014."
9,3,Argyroudis et al. (2018),"Argyroudis, S., Mitoulis, S., Winter, M. G., and Kaynia, A. M.: Fragility of critical transportation infrastructure systems subjected to geo-hazards, 16th European conference on earthquake engineering, Thessaloniki, Greece, 2018."
10,4,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
11,5,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
12,5,ALA (2001),"ALA. 2001. Seismic fragility formulations for water systems. American Lifeline Alliance, ASCE."
13,5,Andreotti and Lai (2019),"Andreotti, G., Lai, C.G. (2019) Use of fragility curves to assess the seismic vulnerability in the risk analysis of mountain tunnels. Tunnelling and Underground Space Technology, 91: 103008."
14,6,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
15,7,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
16,8,FEMA (2020),"FEMA: Hazus Earthquake Model Technical Manual: Hazus 4.2 SP3, Federal Emergency Management Agency, 436 pp., 2020."
17,8,ALA (2001),"ALA. 2001. Seismic fragility formulations for water systems. American Lifeline Alliance, ASCE."
18,8,Berahman and Behnamfar (2007),"Berahman, F. and Behnamfar, F.: Seismic fragility curves for un-anchored on-grade steel storage tanks: Bayesian approach, Journal of Earthquake Engineering, 11, 166–192, https://doi.org/10.1080/13632460601125722, 2007."
