id,model_id,name,imt,ds
1,1,CR_LDUAL_DUH_H1,PGA,4
2,1,CR_LDUAL_DUH_H10,SA0.6,4
3,1,CR_LDUAL_DUH_H11,SA0.6,4
4,1,CR_LDUAL_DUH_H12,SA0.6,4
5,1,CR_LDUAL_DUH_H2,PGA,4
6,1,CR_LDUAL_DUH_H3,PGA,4
7,1,CR_LDUAL_DUH_H4,PGA,4
8,1,CR_LDUAL_DUH_H5,SA0.6,4
9,1,CR_LDUAL_DUH_H6,SA0.6,4
10,1,CR_LDUAL_DUH_H7,SA0.6,4
11,1,CR_LDUAL_DUH_H8,SA0.6,4
12,1,CR_LDUAL_DUH_H9,SA0.6,4
13,1,CR_LDUAL_DUL_H1,PGA,4
14,1,CR_LDUAL_DUL_H10,SA0.6,4
15,1,CR_LDUAL_DUL_H11,SA0.6,4
16,1,CR_LDUAL_DUL_H12,SA1.0,4
17,1,CR_LDUAL_DUL_H2,PGA,4
18,1,CR_LDUAL_DUL_H3,PGA,4
19,1,CR_LDUAL_DUL_H4,SA0.6,4
20,1,CR_LDUAL_DUL_H5,SA0.6,4
21,1,CR_LDUAL_DUL_H6,SA0.6,4
22,1,CR_LDUAL_DUL_H7,SA0.6,4
23,1,CR_LDUAL_DUL_H8,SA0.6,4
24,1,CR_LDUAL_DUL_H9,SA0.6,4
25,1,CR_LDUAL_DUM_H1,PGA,4
26,1,CR_LDUAL_DUM_H10,SA0.6,4
27,1,CR_LDUAL_DUM_H11,SA0.6,4
28,1,CR_LDUAL_DUM_H12,SA0.6,4
29,1,CR_LDUAL_DUM_H2,PGA,4
30,1,CR_LDUAL_DUM_H3,PGA,4
31,1,CR_LDUAL_DUM_H4,PGA,4
32,1,CR_LDUAL_DUM_H5,SA0.6,4
33,1,CR_LDUAL_DUM_H6,SA0.6,4
34,1,CR_LDUAL_DUM_H7,SA0.6,4
35,1,CR_LDUAL_DUM_H8,SA0.6,4
36,1,CR_LDUAL_DUM_H9,SA0.6,4
37,1,CR_LFINF_CDH_0_H1,PGA,4
38,1,CR_LFINF_CDH_0_H2,SA0.6,4
39,1,CR_LFINF_CDH_0_H3,SA0.6,4
40,1,CR_LFINF_CDH_0_H4,SA1.0,4
41,1,CR_LFINF_CDH_0_H5,SA1.0,4
42,1,CR_LFINF_CDH_0_H6,SA1.0,4
43,1,CR_LFINF_CDH_10_H1,PGA,4
44,1,CR_LFINF_CDH_10_H2,SA0.6,4
45,1,CR_LFINF_CDH_10_H3,SA0.6,4
46,1,CR_LFINF_CDH_10_H4,SA1.0,4
47,1,CR_LFINF_CDH_10_H5,SA1.0,4
48,1,CR_LFINF_CDH_10_H6,SA1.0,4
49,1,CR_LFINF_CDH_15_H1,PGA,4
50,1,CR_LFINF_CDH_15_H2,SA0.6,4
51,1,CR_LFINF_CDH_15_H3,SA0.6,4
52,1,CR_LFINF_CDH_15_H4,SA1.0,4
53,1,CR_LFINF_CDH_15_H5,SA1.0,4
54,1,CR_LFINF_CDH_15_H6,SA1.0,4
55,1,CR_LFINF_CDH_20_H1,PGA,4
56,1,CR_LFINF_CDH_20_H2,SA0.6,4
57,1,CR_LFINF_CDH_20_H3,SA0.6,4
58,1,CR_LFINF_CDH_20_H4,SA0.6,4
59,1,CR_LFINF_CDH_20_H5,SA0.6,4
60,1,CR_LFINF_CDH_20_H6,SA1.0,4
61,1,CR_LFINF_CDH_25_H1,PGA,4
62,1,CR_LFINF_CDH_25_H2,SA0.SA0.6,4
63,1,CR_LFINF_CDH_25_H3,SA0.6,4
64,1,CR_LFINF_CDH_25_H4,SA0.6,4
65,1,CR_LFINF_CDH_25_H5,SA0.6,4
66,1,CR_LFINF_CDH_25_H6,SA1.0,4
67,1,CR_LFINF_CDH_30_H1,PGA,4
68,1,CR_LFINF_CDH_30_H2,SA0.SA0.6,4
69,1,CR_LFINF_CDH_30_H3,SA0.6,4
70,1,CR_LFINF_CDH_30_H4,SA0.6,4
71,1,CR_LFINF_CDH_30_H5,SA0.6,4
72,1,CR_LFINF_CDH_30_H6,SA0.6,4
73,1,CR_LFINF_CDH_5_H1,PGA,4
74,1,CR_LFINF_CDH_5_H2,SA0.6,4
75,1,CR_LFINF_CDH_5_H3,SA0.6,4
76,1,CR_LFINF_CDH_5_H4,SA1.0,4
77,1,CR_LFINF_CDH_5_H5,SA1.0,4
78,1,CR_LFINF_CDH_5_H6,SA1.0,4
79,1,CR_LFINF_CDL_0_H1,SA0.6,4
80,1,CR_LFINF_CDL_0_H2,SA0.6,4
81,1,CR_LFINF_CDL_0_H3,SA1.0,4
82,1,CR_LFINF_CDL_0_H4,SA1.0,4
83,1,CR_LFINF_CDL_0_H5,SA1.0,4
84,1,CR_LFINF_CDL_0_H6,SA1.0,4
