lon,lat,slope,geology,vs30
23.68213,41.4,0.2571632,PRECAMBRIAN,840.8712
23.68213,41.3,0.22520012,JURASSIC-TRIASSIC,821.89294
23.78213,41.4,0.13535598,PRECAMBRIAN,730.4332
23.78213,41.3,0.15730959,PRECAMBRIAN,709.0732
23.78213,41.2,0.35003406,PRECAMBRIAN,900
23.88213,41.4,0.02028818,PRECAMBRIAN,373.00876
23.88213,41.3,0.033396553,PRECAMBRIAN,578.1189
23.88213,41.2,0.028196093,CRETACEOUS,422.80508
23.98213,41.4,0.05060298,PRECAMBRIAN,595.0205
23.98213,41.3,0.11507655,PRECAMBRIAN,622.7987
23.98213,41.2,0.25250623,PRECAMBRIAN,900
23.98213,40.8,0.08951373,CRETACEOUS,633.0263
24.08213,41.5,0.16612089,PRECAMBRIAN,819.9779
24.08213,41.4,0.041935705,PRECAMBRIAN,488.584
24.08213,41.3,0.15866616,PRECAMBRIAN,800.4471
24.08213,41.2,0.09308658,PRECAMBRIAN,770.44714
24.08213,41.1,0.004375733,PLEISTOCENE,253.61803
24.08213,40.9,0.25954026,PRECAMBRIAN,900
24.08213,40.8,0.09132334,PLEISTOCENE,538.03687
24.18213,41.5,0.04237313,PRECAMBRIAN,529.4243
24.18213,41.4,0.09125998,PRECAMBRIAN,572.8491
24.18213,41.3,0.09966939,PRECAMBRIAN,736.5813
24.18213,41.2,0.07112343,PRECAMBRIAN,445.038
24.18213,41.1,0.009056774,CRETACEOUS,293.13455
24.18213,41,0.003844227,PLEISTOCENE,236.41534
24.18213,40.9,0.2309243,PRECAMBRIAN,900
24.18213,40.8,0.07848336,JURASSIC-TRIASSIC,567.7214
24.28213,41.5,0.10636246,PRECAMBRIAN,596.47
24.28213,41.4,0.124586076,PRECAMBRIAN,626.90466
24.28213,41.3,0.09271798,PRECAMBRIAN,712.8143
24.28213,41.2,0.06717012,PRECAMBRIAN,660.9562
24.28213,41.1,0.017901862,CRETACEOUS,373.9489
24.28213,41,0.009051273,PLEISTOCENE,294.30008
24.28213,40.9,0.10099228,PRECAMBRIAN,610.6506
